record,apuntador,fecha,transecto,direcion,placa,x_m,y_m,x_coord,y_coord,species,species_2,circ_cm,y04,y05,y06,y07,y08,y09,y10,y11,y12,y13,y14,y15,y16,sampled,
no_rec,gus,12-Mar-10,8,i,nn-159,3,10,3,140, Alchornea latifolia,Alchornea_latifolia,20.2,0,0,0,0,0,0,0,0,1,2,0,0,0,no,
no_rec,gus,1-Aug-07,4,i,n-106,416,7,416,63," broton""""""""broton""""broton""",Broton,19.2,0,0,0,0,0,0,0,0,0,1,0,0,1,no,
1594,jorge,14-Jun-04,7,i,1600,67.6,3,67.6,127,alagarte,Alagarte,28.3,0,0,0,0,0,0,0,0,0,0,0,0,1,no,
1599,jorge,14-Jun-04,7,i,1605,71.4,2.3,71.4,127.7,alagarte,Alagarte,66.7,0,0,0,0,0,0,0,0,0,1,2,3,4,no,
1598,jorge,14-Jun-04,7,i,1604,69.6,2,69.6,128,alagarte,Alagarte,58,0,0,0,0,0,0,0,0,0,0,0,0,1,no,
9438,jorge,5 octubre 2004,47,i,1468,218.3,2.6,-218.3,427.4,alagarte,Alagarte,73.4,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
9443,jorge,5 octubre 2004,47,i,1470,215.4,1.1,-215.4,428.9,alagarte,Alagarte,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
10459,jorge,13 octubre 2004,54,i,2508,287.4,5.4,-287.4,564.6,alagarte,Alagarte,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
10602,jorge,14 octubre 2004,55,d,2649,292.5,4.5,-292.5,594.5,alagarte,Alagarte,57,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
10596,jorge,14 octubre 2004,55,d,2645,288.5,7.3,-288.5,597.3,alagarte,Alagarte,118.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
10600,jorge,14 octubre 2004,55,d,2647,291.8,7.4,-291.8,597.4,alagarte,Alagarte,69.3,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
10595,jorge,14 octubre 2004,55,d,2644,287.5,8.9,-287.5,598.9,alagarte,Alagarte,60,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
78,stacy,11 mayo 04,1,i,79,127.9,9.5,127.9,0.5,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,151,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
46,stacy,11 mayo 04,1,d,46,34.3,2.7,34.3,12.7,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
145,stacy,11 mayo 04,1,d,66,110.5,5.5,110.5,15.5,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,172,0,0,0,0,0,0,0,0,0,0,1,0,1,no,
239,stacy,12 mayo 04,1,d,239,267.5,8.4,267.5,18.4,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,220.8,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
446,stacy,13 mayo 04,2,i,465,270.7,8.3,270.7,21.7,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,147.7,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
303,stacy,13 mayo 04,2,i,304,23.3,7.7,23.3,22.3,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,40.6,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
325,stacy,13 mayo 04,2,i,328,97.7,6.3,97.7,23.7,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,92.7,0,0,0,0,0,1,2,3,4,5,6,7,8,no,
513,stacy,13 mayo 04,2,d,498,267,2.2,267,32.2,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,247,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
417,stacy,13 mayo 04,2,d,419,29.4,5.4,29.4,35.4,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,137.7,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
397,stacy,13 mayo 04,2,d,400,92,6.7,92,36.7,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,73.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
389,stacy,13 mayo 04,2,d,396,102.7,7.8,102.7,37.8,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,138.4,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
669,stacy,26 mayo 2004,3,i,668,260,4.4,260,45.6,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,152,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
538,jorge,26 mayo 2004,3,i,520,14,2,14,48,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,160,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
561,jorge,26 mayo 2004,3,i,544,91.4,1.4,91.4,48.6,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,103,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
603,stacy,26 mayo 2004,3,d,594,6.1,0,6.1,50,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,230,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
651,stacy,26 mayo 2004,3,d,661,100.4,2.7,100.4,52.7,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,104.1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
699,stacy,27 mayo 2004,3,d,718,250.5,7.1,250.5,57.1,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,98.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
920,stacy,28 mayo 2004,4,i,1007,246.7,3.3,246.7,66.7,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,182.1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
1191,stacy,29 mayo 2004,5,i,1206,260.4,6.2,260.4,83.8,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,163,0,0,0,0,0,0,0,0,0,1,0,0,0,no,
1184,stacy,29 mayo 2004,5,i,1203,239.6,5.2,239.6,84.8,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,98.9,0,0,0,0,0,0,0,0,0,1,2,3,4,no,
1225,stacy,29 mayo 2004,5,d,1225,229.8,3.1,229.8,93.1,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,128.8,0,0,0,0,0,0,0,0,1,0,0,0,0,no,
1085,stacy,28 mayo 2004,5,d,1099,93.7,4.9,93.7,94.9,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,136.2,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
1227,stacy,29 mayo 2004,5,d,1256,218.9,8.9,218.9,98.9,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,156.2,0,0,0,0,0,0,1,0,1,0,0,0,0,no,
1213,stacy,29 mayo 2004,5,d,1219,273.3,9.8,273.3,99.8,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
7216,jorge,1 septiembre 2004,31,i,7221,48.1,7.3,-48.1,102.7,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,68,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
1382,jorge,10 junio 04,6,i,1394,102.1,5.6,102.1,104.4,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,184,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
1488,jorge,10 junio 04,6,d,1443,210.7,2.7,210.7,112.7,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,173,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
1471,jorge,10 junio 04,6,d,1435,273.5,3.4,273.5,113.4,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,114.4,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
1424,jorge,10 junio 04,6,d,1418,140.5,9.4,140.5,119.4,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,98.7,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
7347,jorge,1 septiembre 2004,32,i,7277,62,10,-62,120,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,63,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
1611,jorge,14-Jun-04,7,i,1617,86.9,6.8,86.9,123.2,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,104.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
1733,jorge,14-Jun-04,7,i,1739,285.5,4.4,285.5,125.6,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,235,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
7333,jorge,1 septiembre 2004,32,i,7270,47.3,4.1,-47.3,125.9,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,167,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
